Latitude,Longitude,Elevation
30.52910000,-84.2961200,66.0
30.52919000,-84.2958600,66.0
30.52949000,-84.2957800,58.0
30.52959000,-84.2958300,57.0
30.53001000,-84.2958900,60.0
30.53068000,-84.2960800,72.0
30.53114000,-84.2962800,74.0
30.53168000,-84.2965500,76.0
30.53206000,-84.2967200,77.0
30.53230000,-84.2968000,77.0
30.53257000,-84.2968200,78.0
30.53298000,-84.2968200,79.0
30.53376000,-84.2968400,80.0
30.53411000,-84.2968700,82.0
30.53478000,-84.2968700,78.0
30.53501000,-84.2968900,78.0
30.53558000,-84.2970600,78.0
30.53572000,-84.2971100,79.0
30.53590000,-84.2971300,81.0
30.53601000,-84.2971800,82.0
